Company Name,Sector,Competitors
Agnikul,SpaceTech,"Skyroot Aerospace, Rocket Lab, Relativity Space, ABL Space Systems, Orbex"
GalaxEye,SpaceTech,"Pixxel Space, Piersight, Sisir Radar, Satellogic, Capella Space"
Orbit Space,SpaceTech,"Skyroot Aerospace, Agnikul, Pixxel Space, Dhruva Space, Bellatrix Aerospace"
Orbitt Space,SpaceTech,"Skyroot Aerospace, Agnikul, Pixxel Space, Dhruva Space, Bellatrix Aerospace"
EPlane,Mobility,"Joby Aviation, Archer Aviation, Wisk Aero, Volocopter, Lilium"
Immunito AI,HealthTech,"Tempus AI, PathAI, Paige AI, Flatiron Health, Guardant Health"
PlayShifu,Gaming,"Osmo, LeapFrog, ThinkFun, Tynker, Merge Edu"
Custiv,B2B,"Zetwerk, Moglix, Infra.Market, Xometry, Fastech"
Dr. Paws,PetCare,"Supertails, Heads Up for Tails, Wiggles, PetCurious, Instapet"
Arata,E-commerce,"Mamaearth, Plum, Minimalist, Juicy Chemistry, WOW Skin Science"
AsliPundit,Media,"NewsBytes, Inshorts, The Ken, Scroll, The Print"
Asset Vantage,FinTech,"Addepar, INDmoney, Perfios, Wealthdesk, Kuvera"
AssureKit,InsurTech,"Riskcovry, InsuranceDekho, Coverfox, Turtlemint, RenewBuy"
Astro-Motors,Mobility,"Ather Energy, Ola Electric, Revolt Motors, Okinawa, Hero Electric"
AU SFB,FinTech,"Equitas SFB, ESAF SFB, Ujjivan SFB, Jana SFB, Utkarsh SFB"
August Jewellery,E-commerce,"CaratLane, Melorra, Bluestone, Mia by Tanishq, Voylla"
BombayPlay,Gaming,"Nazara Technologies, nCore Games, SuperGaming, Moonfrog Labs, 99 Games"
Credflow,FinTech,"KredX, Yubi, Rupifi, CredAble, M1xchange"
DeepSync,AI,"Murf AI, Resemble AI, ElevenLabs, Descript, Synthesia"
Doctalks,HealthTech,"Practo, DocsApp, MediBuddy, mFine, Tata Health"
Dunzo,Logistics,"Blinkit, Zepto, Swiggy Instamart, BigBasket Now, Flipkart Quick"
EpayLater,FinTech,"LazyPay, Simpl, ZestMoney, KreditBee, Slice"
Firecompass,Cybersecurity,"Tenable, Rapid7, XM Cyber, Palo Alto Networks, CrowdStrike"
Furlenco,Furniture,"Rentomojo, Cityfurnish, Fabrento, Wooden Street, Greento"
Genius Learning,EdTech,"Byju's, Unacademy, Vedantu, upGrad, Simplilearn"
GigForce,HR Tech,"Awign, BetterPlace, Taskmo, Apna, WorkIndia"
Goldi Solar,GreenTech,"Waaree Energies, Adani Green, Tata Power Solar, Premier Energies, Vikram Solar"
Grayquest,EdTech,"Propelld, Avanse, Auxilo, HDFC Credila, InCred"
GRIP,FinTech,"Wint Wealth, Jiraaf, Leaf Round, Altifi, CredAble"
I-Genetics,HealthTech,"Medgenome, Strand Life Sciences, Mapmygenome, 4baseCare, Neuberg Diagnostics"
India Family Mart,Retail,"Reliance Retail, DMart, V-Mart, Vishal Mega Mart, Spencer's"
IndiaMart,B2B,"TradeIndia, Udaan, Moglix, ExportersIndia, Power2SME"
IndigoLearn,EdTech,"Finprov, CA Guru, Unacademy Commerce, EduSaksham, Vipra Learning"
Infinite Analytics,Analytics,"Mu Sigma, Fractal Analytics, Bridgei2i, LatentView, Tiger Analytics"
Lavelle Networks,Networking,"Versa Networks, Cato Networks, Aryaka, Cisco Meraki, Silver Peak"
Loadshare,Logistics,"Delhivery, Shadowfax, Xpressbees, Shiprocket, Porter"
MindHouse,Mental Health,"Headspace, Calm, InnerHour, Lissun, Wysa"
NSEIndia,FinTech,"BSE, MCX, NCDEX, CDSL, NSDL"
Nysaa,HealthTech,"PharmEasy, Tata 1mg, Netmeds, Apollo Pharmacy, Medkart"
OfBusiness,B2B,"Udaan, Moglix, Infra.Market, Zetwerk, Power2SME"
Ondoor Concepts,Retail,"BigBasket, JioMart, Blinkit, Zepto, Swiggy Instamart"
Orange Credit,FinTech,"KreditBee, MoneyTap, CASHe, LazyPay, Slice"
PB Fintech,FinTech,"InsuranceDekho, Coverfox, Turtlemint, BankBazaar, Paisabazaar"
Pico Express,Logistics,"Delhivery, Shadowfax, Xpressbees, Ecom Express, Shiprocket"
PostCard,E-commerce,"Nykaa, Sugar Cosmetics, Mamaearth, Dot & Key, Plum"
RainPlatform,Analytics,"Mu Sigma, Fractal Analytics, Bridgei2i, LatentView, Crayon Data"
Right Health,HealthTech,"Practo, 1mg, MediBuddy, mFine, Tata Health"
Rooter,Gaming,"Loco, Nodwin Gaming, WinZO, MPL, Paytm First Games"
Sadhan,AgriTech,"AgroStar, BigHaat, DeHaat, Ninjacart, Jio Kisan"
Shifu,EdTech,"Byju's, Unacademy, Scaler, upGrad, Simplilearn"
SK Finance,FinTech,"Shriram Finance, Muthoot Finance, Five Star Business, Aavas Financiers, Manappuram"
Smaaash,Entertainment,"Imagica, EsselWorld, Wonderla, Timezone, Fun City"
Stranger & Sons,Beverages,"Greater Than, Hapusa Gin, Nao Spirits, Paul John, Amrut Distilleries"
